"lang"
{ 
	"Language" "Czech" 
	"Tokens" 
	{
//I don't think this one is used
		"BSHIFT_CampaignName_BMSCP1"		"Black Mesa: Blue Shift"
		"BMS_Switch_Glock"				"Pistole"
		"BMS_Switch_357"					"Revolver"
		"BMS_Switch_mp5"					"Samopal"
		"BMS_Switch_shotgun"			"Brokovnice"
		"BMS_Switch_rpg"					"Raketomet"
		"BMS_Switch_frag"					"Granát"
		"BMS_Switch_satchel"			"Nálož"
		"BMS_Switch_snark"				"Snarkové"
	} 
}
